employee_id,risk_score,risk_level,Department,JobRole
1,6.3,Low,Sales,Sales Executive
2,85.0,Medium,Research & Development,Research Scientist
4,99.6,High,Research & Development,Laboratory Technician
5,76.7,Medium,Research & Development,Research Scientist
7,81.5,Medium,Research & Development,Laboratory Technician
8,15.1,Low,Research & Development,Laboratory Technician
10,96.7,High,Research & Development,Laboratory Technician
11,99.2,High,Research & Development,Laboratory Technician
12,18.3,Low,Research & Development,Manufacturing Director
13,16.6,Low,Research & Development,Healthcare Representative
14,19.4,Low,Research & Development,Laboratory Technician
15,65.6,Medium,Research & Development,Laboratory Technician
16,17.4,Low,Research & Development,Research Scientist
18,87.1,Medium,Research & Development,Laboratory Technician
19,97.4,High,Research & Development,Laboratory Technician
20,79.4,Medium,Research & Development,Manufacturing Director
21,89.5,Medium,Research & Development,Research Scientist
22,90.6,Medium,Research & Development,Laboratory Technician
23,17.9,Low,Sales,Manager
24,80.6,Medium,Research & Development,Research Scientist
26,92.5,High,Research & Development,Manufacturing Director
27,22.2,Low,Sales,Sales Representative
28,17.2,Low,Research & Development,Research Director
30,99.5,High,Research & Development,Research Scientist
31,71.0,Medium,Research & Development,Research Scientist
32,2.8,Low,Research & Development,Manager
33,79.0,Medium,Research & Development,Research Scientist
35,75.1,Medium,Sales,Sales Executive
36,91.7,High,Research & Development,Healthcare Representative
38,8.8,Low,Sales,Manager
39,98.4,High,Research & Development,Laboratory Technician
40,87.8,Medium,Research & Development,Healthcare Representative
41,12.9,Low,Research & Development,Laboratory Technician
42,97.7,High,Sales,Sales Representative
45,92.6,High,Research & Development,Research Scientist
46,6.4,Low,Research & Development,Research Scientist
47,6.6,Low,Sales,Sales Representative
49,56.5,Low,Sales,Sales Representative
51,99.7,High,Research & Development,Research Scientist
52,74.4,Medium,Sales,Sales Executive
53,99.4,High,Research & Development,Laboratory Technician
54,93.9,High,Research & Development,Laboratory Technician
55,68.8,Medium,Research & Development,Laboratory Technician
56,88.0,Medium,Sales,Sales Executive
57,75.8,Medium,Research & Development,Laboratory Technician
58,17.5,Low,Research & Development,Research Director
60,26.1,Low,Sales,Sales Executive
61,93.1,High,Research & Development,Research Scientist
62,65.0,Medium,Sales,Sales Executive
63,91.7,High,Research & Development,Laboratory Technician
64,98.7,High,Research & Development,Laboratory Technician
65,80.6,Medium,Research & Development,Laboratory Technician
68,90.6,Medium,Sales,Sales Executive
70,67.6,Medium,Research & Development,Healthcare Representative
72,63.9,Medium,Sales,Sales Executive
73,78.7,Medium,Research & Development,Research Director
74,56.1,Low,Sales,Sales Executive
75,66.6,Medium,Research & Development,Laboratory Technician
