employee_id,Department,JobRole,Gender,Age,Education,BusinessTravel,YearsAtCompany,JobLevel,MonthlyIncome
1,Sales,Sales Executive,Female,41,2,Travel_Rarely,6,2,5993
2,Research & Development,Research Scientist,Male,49,1,Travel_Frequently,10,2,5130
4,Research & Development,Laboratory Technician,Male,37,2,Travel_Rarely,0,1,2090
5,Research & Development,Research Scientist,Female,33,4,Travel_Frequently,8,1,2909
7,Research & Development,Laboratory Technician,Male,27,1,Travel_Rarely,2,1,3468
8,Research & Development,Laboratory Technician,Male,32,2,Travel_Frequently,7,1,3068
10,Research & Development,Laboratory Technician,Female,59,3,Travel_Rarely,1,1,2670
11,Research & Development,Laboratory Technician,Male,30,1,Travel_Rarely,1,1,2693
12,Research & Development,Manufacturing Director,Male,38,3,Travel_Frequently,9,3,9526
13,Research & Development,Healthcare Representative,Male,36,3,Travel_Rarely,7,2,5237
14,Research & Development,Laboratory Technician,Male,35,3,Travel_Rarely,5,1,2426
15,Research & Development,Laboratory Technician,Female,29,2,Travel_Rarely,9,2,4193
16,Research & Development,Research Scientist,Male,31,1,Travel_Rarely,5,1,2911
18,Research & Development,Laboratory Technician,Male,34,2,Travel_Rarely,2,1,2661
19,Research & Development,Laboratory Technician,Male,28,3,Travel_Rarely,4,1,2028
20,Research & Development,Manufacturing Director,Female,29,4,Travel_Rarely,10,3,9980
21,Research & Development,Research Scientist,Male,32,2,Travel_Rarely,6,1,3298
22,Research & Development,Laboratory Technician,Male,22,2,Non-Travel,1,1,2935
23,Sales,Manager,Female,53,4,Travel_Rarely,25,4,15427
24,Research & Development,Research Scientist,Male,38,3,Travel_Rarely,3,1,3944
26,Research & Development,Manufacturing Director,Female,24,2,Non-Travel,4,2,4011
27,Sales,Sales Representative,Male,36,4,Travel_Rarely,5,1,3407
28,Research & Development,Research Director,Female,34,4,Travel_Rarely,12,3,11994
30,Research & Development,Research Scientist,Male,21,2,Travel_Rarely,0,1,1232
31,Research & Development,Research Scientist,Male,34,1,Travel_Rarely,4,1,2960
32,Research & Development,Manager,Female,53,3,Travel_Rarely,14,5,19094
33,Research & Development,Research Scientist,Female,32,1,Travel_Frequently,10,1,3919
35,Sales,Sales Executive,Male,42,4,Travel_Rarely,9,2,6825
36,Research & Development,Healthcare Representative,Female,44,4,Travel_Rarely,22,3,10248
38,Sales,Manager,Female,46,4,Travel_Rarely,2,5,18947
39,Research & Development,Laboratory Technician,Male,33,3,Travel_Rarely,1,1,2496
40,Research & Development,Healthcare Representative,Male,44,4,Travel_Rarely,4,2,6465
41,Research & Development,Laboratory Technician,Male,30,2,Travel_Rarely,10,1,2206
42,Sales,Sales Representative,Male,39,3,Travel_Rarely,1,2,2086
45,Research & Development,Research Scientist,Male,24,3,Travel_Rarely,2,1,2293
46,Research & Development,Research Scientist,Female,43,2,Travel_Rarely,5,1,2645
47,Sales,Sales Representative,Male,50,2,Travel_Rarely,3,1,2683
49,Sales,Sales Representative,Female,35,3,Travel_Rarely,2,1,2014
51,Research & Development,Research Scientist,Female,36,4,Travel_Rarely,1,1,3419
52,Sales,Sales Executive,Female,33,3,Travel_Frequently,5,2,5376
53,Research & Development,Laboratory Technician,Male,35,2,Travel_Rarely,1,1,1951
54,Research & Development,Laboratory Technician,Female,27,4,Travel_Rarely,1,1,2341
55,Research & Development,Laboratory Technician,Male,26,3,Travel_Rarely,1,1,2293
56,Sales,Sales Executive,Male,27,3,Travel_Frequently,9,3,8726
57,Research & Development,Laboratory Technician,Female,30,2,Travel_Frequently,12,2,4011
58,Research & Development,Research Director,Female,41,3,Travel_Rarely,22,5,19545
60,Sales,Sales Executive,Male,34,4,Non-Travel,9,2,4568
61,Research & Development,Research Scientist,Male,37,2,Travel_Rarely,1,1,3022
62,Sales,Sales Executive,Male,46,4,Travel_Frequently,9,2,5772
63,Research & Development,Laboratory Technician,Male,35,1,Travel_Rarely,1,1,2269
64,Research & Development,Laboratory Technician,Male,48,2,Travel_Rarely,1,3,5381
65,Research & Development,Laboratory Technician,Male,28,4,Travel_Rarely,2,1,3441
68,Sales,Sales Executive,Female,44,5,Travel_Rarely,4,2,5454
70,Research & Development,Healthcare Representative,Male,35,2,Non-Travel,4,3,9884
72,Sales,Sales Executive,Female,26,3,Travel_Rarely,2,2,4157
73,Research & Development,Research Director,Female,33,2,Travel_Frequently,15,3,13458
74,Sales,Sales Executive,Male,35,5,Travel_Frequently,9,3,9069
75,Research & Development,Laboratory Technician,Female,35,4,Travel_Rarely,2,1,4014
76,Research & Development,Laboratory Technician,Male,31,4,Travel_Rarely,7,2,5915
77,Research & Development,Manufacturing Director,Male,37,4,Travel_Rarely,7,2,5993
78,Research & Development,Manufacturing Director,Male,32,3,Travel_Rarely,9,2,6162
79,Research & Development,Laboratory Technician,Female,38,5,Travel_Frequently,10,2,2406
80,Research & Development,Research Director,Female,50,2,Travel_Rarely,27,5,18740
81,Sales,Sales Executive,Female,59,3,Travel_Rarely,21,3,7637
83,Research & Development,Healthcare Representative,Female,36,3,Travel_Rarely,17,3,10096
84,Research & Development,Manager,Female,55,3,Travel_Rarely,5,4,14756
85,Research & Development,Manufacturing Director,Male,36,3,Travel_Frequently,6,2,6499
86,Research & Development,Research Scientist,Male,45,3,Travel_Rarely,1,3,9724
88,Research & Development,Research Scientist,Male,35,3,Travel_Frequently,3,1,2194
90,Research & Development,Research Scientist,Male,36,3,Travel_Rarely,1,1,3388
91,Sales,Sales Executive,Female,59,1,Travel_Frequently,4,2,5473
94,Research & Development,Research Scientist,Male,29,3,Travel_Rarely,5,1,2703
95,Research & Development,Research Scientist,Male,31,4,Travel_Rarely,1,1,2501
96,Research & Development,Research Scientist,Male,32,3,Travel_Rarely,10,2,6220
97,Research & Development,Laboratory Technician,Female,36,3,Travel_Rarely,1,1,3038
98,Research & Development,Manufacturing Director,Female,31,4,Travel_Rarely,11,2,4424
100,Sales,Sales Executive,Male,35,4,Travel_Rarely,15,2,4312
101,Research & Development,Research Director,Male,45,4,Travel_Rarely,0,3,13245
102,Research & Development,Research Director,Male,37,4,Travel_Rarely,5,3,13664
103,Human Resources,Human Resources,Male,46,2,Travel_Rarely,4,2,5021
104,Research & Development,Laboratory Technician,Male,30,1,Travel_Rarely,10,2,5126
105,Research & Development,Research Scientist,Male,35,3,Travel_Rarely,6,1,2859
106,Sales,Sales Executive,Male,55,2,Travel_Rarely,1,3,10239
107,Research & Development,Research Scientist,Female,38,3,Non-Travel,13,2,5329
110,Research & Development,Manufacturing Director,Male,34,2,Travel_Rarely,5,2,4325
112,Research & Development,Manufacturing Director,Male,56,3,Travel_Rarely,6,3,7260
113,Sales,Sales Representative,Male,23,1,Travel_Rarely,0,1,2322
116,Research & Development,Laboratory Technician,Male,51,4,Travel_Rarely,4,1,2075
117,Research & Development,Healthcare Representative,Male,30,3,Travel_Rarely,11,2,4152
118,Sales,Sales Executive,Male,46,2,Travel_Rarely,9,3,9619
119,Research & Development,Healthcare Representative,Male,40,4,Travel_Frequently,22,4,13503
120,Sales,Sales Executive,Male,51,4,Travel_Rarely,10,2,5441
121,Sales,Sales Executive,Female,30,2,Travel_Rarely,11,2,5209
124,Research & Development,Healthcare Representative,Male,46,3,Travel_Frequently,10,3,10673
125,Sales,Sales Executive,Male,32,4,Travel_Rarely,11,2,5010
126,Research & Development,Research Director,Female,54,4,Travel_Rarely,4,3,13549
128,Sales,Sales Executive,Female,24,2,Travel_Rarely,3,2,4999
